 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,461.746,43.515,339,580,1050.039,78035.000
2,2.274,1576.775,103.073,1290,1859,3585.688,266475.000
3,2.274,564.728,81.533,342,744,1284.227,95439.000
4,2.274,563.077,63.259,392,704,1280.473,95160.000
5,2.274,1833.858,143.613,1532,2238,4170.311,309922.000
6,2.274,498.402,46.210,380,630,1133.399,84230.000
7,2.274,520.260,57.002,398,692,1183.106,87924.000
8,2.274,1663.817,139.184,1326,2036,3783.626,281185.000
9,2.274,477.266,52.590,368,608,1085.334,80658.000
10,2.274,178.195,23.311,123,240,405.228,30115.000
11,2.274,1008.172,82.620,813,1222,2292.647,170381.000
12,2.274,591.361,74.662,431,792,1344.793,99940.000
13,2.274,181.385,24.486,117,236,412.480,30654.000
14,2.274,1020.645,99.962,822,1292,2321.012,172489.000
15,2.274,585.663,95.061,428,806,1331.835,98977.000
16,2.274,174.846,21.085,114,243,397.611,29549.000
17,2.274,979.704,124.513,749,1379,2227.910,165570.000
18,2.274,379.473,47.380,255,507,862.947,64131.000
19,2.274,111.704,16.335,76,162,254.022,18878.000
20,2.274,118.876,19.148,64,164,270.331,20090.000
21,2.274,136.012,19.565,85,184,309.300,22986.000
