Original_Name	Blinded_Name
Condition_1control_2_series_16.tiff	blind_0041
Condition_1control_3_series_17.tiff	blind_0021
Condition_1control_4_series_18.tiff	blind_0053
Condition_1control_5_series_19.tiff	blind_0049
Condition_1control_6_series_20.tiff	blind_0038
Condition_1control_series_15.tiff	blind_0046
Condition_1treatment_2_series_22.tiff	blind_0009
Condition_1treatment_3_series_23.tiff	blind_0060
Condition_1treatment_4_series_24.tiff	blind_0058
Condition_1treatment_5_series_25.tiff	blind_0025
Condition_1treatment_6_series_26.tiff	blind_0013
Condition_1treatment_series_21.tiff	blind_0015
Condition_1control_2_series_28.tiff	blind_0055
Condition_1control_3_series_29.tiff	blind_0045
Condition_1control_4_series_30.tiff	blind_0066
Condition_1control_5_series_31.tiff	blind_0019
Condition_1control_6_series_32.tiff	blind_0044
Condition_1control_series_27.tiff	blind_0026
Condition_1treatment_2_series_34.tiff	blind_0042
Condition_1treatment_3_series_35.tiff	blind_0017
Condition_1treatment_4_series_36.tiff	blind_0034
Condition_1treatment_5_series_37.tiff	blind_0020
Condition_1treatment_6_series_38.tiff	blind_0033
Condition_1treatment_series_33.tiff	blind_0003
Condition_1control_ 2_series_46.tiff	blind_0040
Condition_1control_ 3_series_47.tiff	blind_0048
Condition_1control_ 4_series_48.tiff	blind_0007
Condition_1control_ 5_series_49.tiff	blind_0061
Condition_1control_ 6_series_50.tiff	blind_0050
Condition_1control__series_45.tiff	blind_0051
Condition_1treatment_2_series_52.tiff	blind_0006
Condition_1treatment_3_series_53.tiff	blind_0029
Condition_1treatment_4_series_54.tiff	blind_0039
Condition_1treatment_5_series_55.tiff	blind_0002
Condition_1treatment_6_series_56.tiff	blind_0071
Condition_1treatment_series_51.tiff	blind_0012
Condition_1control_2_series_1.tiff	blind_0027
Condition_1control_3_series_2.tiff	blind_0052
Condition_1control_4_series_3.tiff	blind_0036
Condition_1control_5_series_4.tiff	blind_0001
Condition_1control_6_series_5.tiff	blind_0014
Condition_1control_7_series_6.tiff	blind_0063
Condition_1control_8_series_7.tiff	blind_0059
Condition_1control_9_series_8.tiff	blind_0065
Condition_1control_series_0.tiff	blind_0043
Condition_1treatment_2_series_10.tiff	blind_0031
Condition_1treatment_3_series_11.tiff	blind_0004
Condition_1treatment_4_series_12.tiff	blind_0022
Condition_1treatment_5_series_13.tiff	blind_0056
Condition_1treatment_6_series_14.tiff	blind_0030
Condition_1treatment_series_9.tiff	blind_0057
Condition_1control_2_series_1.tiff	blind_0011
Condition_1control_3_series_2.tiff	blind_0054
Condition_1control_4_series_3.tiff	blind_0018
Condition_1control_5_series_4.tiff	blind_0028
Condition_1control_6_series_5.tiff	blind_0016
Condition_1control_series_0.tiff	blind_0032
Condition_1treatment_2_series_7.tiff	blind_0008
Condition_1treatment_3_series_8.tiff	blind_0005
Condition_1treatment_4_series_9.tiff	blind_0067
Condition_1treatment_5_series_10.tiff	blind_0073
Condition_1treatment_6_series_11.tiff	blind_0010
Condition_1treatment_series_6.tiff	blind_0069
Condition_1control_2_series_13.tiff	blind_0023
Condition_1control_3_series_14.tiff	blind_0064
Condition_1control_4_series_15.tiff	blind_0072
Condition_1control_5_series_16.tiff	blind_0037
Condition_1control_6_series_17.tiff	blind_0070
Condition_1control_series_12.tiff	blind_0068
Condition_1treatment_2_series_19.tiff	blind_0062
Condition_1treatment_3_series_20.tiff	blind_0035
Condition_1treatment_4_series_21.tiff	blind_0024
Condition_1treatment_series_18.tiff	blind_0047
