Original_Name	Blinded_Name
Condition_4treatment__568_Tubulin647_021.tif	blind_0046
Condition_4treatment__568_Tubulin647_022.tif	blind_0058
Condition_4treatment__568_Tubulin647_023-1.tif	blind_0028
Condition_4treatment__568_Tubulin647_023.tif	blind_0097
Condition_4treatment__568_Tubulin647_024.tif	blind_0051
Condition_4treatment__568_Tubulin647_025.tif	blind_0065
Condition_4treatment__568_Tubulin647_027-1.tif	blind_0084
Condition_4treatment__568_Tubulin647_028.tif	blind_0067
Condition_4treatment__568_Tubulin647_030.tif	blind_0056
Condition_4treatment__568_Tubulin647_031.tif	blind_0044
Condition_4treatment__568_Tubulin647_032.tif	blind_0094
Condition_4treatment__568_Tubulin647_033.tif	blind_0062
Condition_4treatment__568_Tubulin647_034-1.tif	blind_0073
Condition_4treatment__568_Tubulin647_034.tif	blind_0026
Condition_4treatment__568_Tubulin647_035.tif	blind_0005
Condition_4treatment__568_Tubulin647_036.tif	blind_0009
Condition_4treatment__568_Tubulin647_063-1.tif	blind_0077
Condition_4treatment__568_Tubulin647_063.tif	blind_0061
Condition_4treatment__568_Tubulin647_064.tif	blind_0043
Condition_4treatment__568_Tubulin647_065-1.tif	blind_0031
Condition_4treatment__568_Tubulin647_065.tif	blind_0091
Condition_4treatment__568_Tubulin647_066.tif	blind_0113
Condition_4treatment__568_Tubulin647_070.tif	blind_0027
Condition_4treatment__568_Tubulin647_071.tif	blind_0048
Condition_4treatment__568_Tubulin647_072.tif	blind_0037
Condition_4treatment__568_Tubulin647_073.tif	blind_0050
Condition_4treatment__568_Tubulin647_074.tif	blind_0040
Condition_4treatment__568_Tubulin647_075.tif	blind_0014
Condition_4treatment__568_Tubulin647_037.tif	blind_0059
Condition_4treatment__568_Tubulin647_038.tif	blind_0098
Condition_4treatment__568_Tubulin647_039.tif	blind_0086
Condition_4treatment__568_Tubulin647_041.tif	blind_0096
Condition_4treatment__568_Tubulin647_045.tif	blind_0104
